timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1747991159611,457,Report Data Collection-1,200,OK,EasySR 1-1,text,true,,1989,189,10,10,https://apps.easysr.com/api/v1_0/sr-transaction-disclosure/list,457,0,0
1747991159227,904,Report Data Collection,200,OK,EasySR 1-2,text,true,,3039,378,10,10,https://apps.easysr.com/api/v1_0/sr-transaction-disclosure/list,463,0,0
1747991159227,463,Report Data Collection-0,301,Moved Permanently,EasySR 1-2,text,true,,1058,189,10,10,http://apps.easysr.com/api/v1_0/sr-transaction-disclosure/list,463,0,0
1747991159691,440,Report Data Collection-1,200,OK,EasySR 1-2,text,true,,1981,189,10,10,https://apps.easysr.com/api/v1_0/sr-transaction-disclosure/list,438,0,0
1747991159371,911,Report Data Collection,200,OK,EasySR 1-3,text,true,,3058,378,10,10,https://apps.easysr.com/api/v1_0/sr-transaction-disclosure/list,438,0,0
1747991159371,438,Report Data Collection-0,301,Moved Permanently,EasySR 1-3,text,true,,1065,189,10,10,http://apps.easysr.com/api/v1_0/sr-transaction-disclosure/list,438,0,0
1747991159810,472,Report Data Collection-1,200,OK,EasySR 1-3,text,true,,1993,189,10,10,https://apps.easysr.com/api/v1_0/sr-transaction-disclosure/list,472,0,0
1747991159518,898,Report Data Collection,200,OK,EasySR 1-5,text,true,,3055,378,10,10,https://apps.easysr.com/api/v1_0/sr-transaction-disclosure/list,449,0,0
1747991159518,449,Report Data Collection-0,301,Moved Permanently,EasySR 1-5,text,true,,1066,189,10,10,http://apps.easysr.com/api/v1_0/sr-transaction-disclosure/list,449,0,0
1747991159969,447,Report Data Collection-1,200,OK,EasySR 1-5,text,true,,1989,189,10,10,https://apps.easysr.com/api/v1_0/sr-transaction-disclosure/list,447,0,0
1747991159540,877,Report Data Collection,200,OK,EasySR 1-6,text,true,,3033,378,10,10,https://apps.easysr.com/api/v1_0/sr-transaction-disclosure/list,426,0,0
1747991159540,426,Report Data Collection-0,301,Moved Permanently,EasySR 1-6,text,true,,1054,189,10,10,http://apps.easysr.com/api/v1_0/sr-transaction-disclosure/list,426,0,0
1747991159967,450,Report Data Collection-1,200,OK,EasySR 1-6,text,true,,1979,189,10,10,https://apps.easysr.com/api/v1_0/sr-transaction-disclosure/list,449,0,0
1747991159521,900,Report Data Collection,200,OK,EasySR 1-4,text,true,,3044,378,10,10,https://apps.easysr.com/api/v1_0/sr-transaction-disclosure/list,455,0,0
1747991159521,455,Report Data Collection-0,301,Moved Permanently,EasySR 1-4,text,true,,1057,189,10,10,http://apps.easysr.com/api/v1_0/sr-transaction-disclosure/list,455,0,0
1747991159977,444,Report Data Collection-1,200,OK,EasySR 1-4,text,true,,1987,189,10,10,https://apps.easysr.com/api/v1_0/sr-transaction-disclosure/list,444,0,0
1747991159796,925,Report Data Collection,200,OK,EasySR 1-7,text,true,,3054,378,10,10,https://apps.easysr.com/api/v1_0/sr-transaction-disclosure/list,486,0,0
1747991159796,486,Report Data Collection-0,301,Moved Permanently,EasySR 1-7,text,true,,1071,189,10,10,http://apps.easysr.com/api/v1_0/sr-transaction-disclosure/list,486,0,0
1747991160283,438,Report Data Collection-1,200,OK,EasySR 1-7,text,true,,1983,189,10,10,https://apps.easysr.com/api/v1_0/sr-transaction-disclosure/list,438,0,0
1747991159857,894,Report Data Collection,200,OK,EasySR 1-8,text,true,,3063,378,10,10,https://apps.easysr.com/api/v1_0/sr-transaction-disclosure/list,458,0,0
1747991159857,459,Report Data Collection-0,301,Moved Permanently,EasySR 1-8,text,true,,1066,189,10,10,http://apps.easysr.com/api/v1_0/sr-transaction-disclosure/list,458,0,0
1747991160317,434,Report Data Collection-1,200,OK,EasySR 1-8,text,true,,1997,189,10,10,https://apps.easysr.com/api/v1_0/sr-transaction-disclosure/list,434,0,0
1747991159977,888,Report Data Collection,200,OK,EasySR 1-10,text,true,,3040,378,10,10,https://apps.easysr.com/api/v1_0/sr-transaction-disclosure/list,459,0,0
1747991159977,459,Report Data Collection-0,301,Moved Permanently,EasySR 1-10,text,true,,1057,189,10,10,http://apps.easysr.com/api/v1_0/sr-transaction-disclosure/list,459,0,0
